technique_id,name,phases,platforms,permissions,mitre_tactic_score
T1491.002,External Defacement,impact,"Windows,IaaS,Linux,macOS",,5
T1027.013,Encrypted/Encoded File,defense-evasion,"Linux,macOS,Windows",,3
T1590.005,IP Addresses,reconnaissance,PRE,,1
T1499.001,OS Exhaustion Flood,impact,"Linux,macOS,Windows",,5
T1014,Rootkit,defense-evasion,"Linux,macOS,Windows",,3
T1546.013,PowerShell Profile,"privilege-escalation,persistence",Windows,,5
T1059.007,JavaScript,execution,"Linux,macOS,Windows",,3
T1590.002,DNS,reconnaissance,PRE,,1
T1485.001,Lifecycle-Triggered Deletion,impact,IaaS,,5
T1123,Audio Capture,collection,"Linux,macOS,Windows",,2
T1543,Create or Modify System Process,"persistence,privilege-escalation","Windows,macOS,Linux,Containers",,5
T1133,External Remote Services,"persistence,initial-access","Containers,Linux,macOS,Windows",,5
T1546.006,LC_LOAD_DYLIB Addition,"privilege-escalation,persistence",macOS,,5
T1539,Steal Web Session Cookie,credential-access,"Linux,Office Suite,SaaS,Windows,macOS",,4
T1053.007,Container Orchestration Job,"execution,persistence,privilege-escalation",Containers,,5
T1568.002,Domain Generation Algorithms,command-and-control,"Linux,macOS,Windows,ESXi",,4
T1036.007,Double File Extension,defense-evasion,Windows,,3
T1548.002,Bypass User Account Control,"privilege-escalation,defense-evasion",Windows,,5
T1496.003,SMS Pumping,impact,SaaS,,5
T1016.001,Internet Connection Discovery,discovery,"Windows,Linux,macOS,ESXi",,2
T1548.003,Sudo and Sudo Caching,"privilege-escalation,defense-evasion","Linux,macOS",,5
T1560.003,Archive via Custom Method,collection,"Linux,macOS,Windows",,2
T1578,Modify Cloud Compute Infrastructure,defense-evasion,IaaS,,3
T1584.008,Network Devices,resource-development,PRE,,1
T1583.008,Malvertising,resource-development,PRE,,1
T1069,Permission Groups Discovery,discovery,"Containers,IaaS,Identity Provider,Linux,macOS,Office Suite,SaaS,Windows",,2
T1114,Email Collection,collection,"Windows,macOS,Linux,Office Suite",,2
T1003.002,Security Account Manager,credential-access,Windows,,4
T1596.002,WHOIS,reconnaissance,PRE,,1
T1542.001,System Firmware,"persistence,defense-evasion","Windows,Network Devices",,3
T1594,Search Victim-Owned Websites,reconnaissance,PRE,,1
T1069.003,Cloud Groups,discovery,"SaaS,IaaS,Office Suite,Identity Provider",,2
T1574.011,Services Registry Permissions Weakness,"persistence,privilege-escalation,defense-evasion",Windows,,5
T1596.001,DNS/Passive DNS,reconnaissance,PRE,,1
T1499.003,Application Exhaustion Flood,impact,"Windows,IaaS,Linux,macOS",,5
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,"Linux,macOS,Windows",,5
T1588.004,Digital Certificates,resource-development,PRE,,1
T1583.002,DNS Server,resource-development,PRE,,1
T1561,Disk Wipe,impact,"Linux,macOS,Windows,Network Devices",,5
T1071.004,DNS,command-and-control,"Linux,macOS,Windows,Network Devices,ESXi",,4
T1552.005,Cloud Instance Metadata API,credential-access,IaaS,,4
T1555.002,Securityd Memory,credential-access,"Linux,macOS",,4
T1615,Group Policy Discovery,discovery,Windows,,2
T1542.003,Bootkit,"persistence,defense-evasion","Linux,Windows",,3
T1025,Data from Removable Media,collection,"Linux,macOS,Windows",,2
T1218.013,Mavinject,defense-evasion,Windows,,3
T1074.001,Local Data Staging,collection,"ESXi,Linux,macOS,Windows",,2
T1036.005,Match Legitimate Resource Name or Location,defense-evasion,"Containers,ESXi,Linux,macOS,Windows",,3
T1587.003,Digital Certificates,resource-development,PRE,,1
T1565.001,Stored Data Manipulation,impact,"Linux,macOS,Windows",,5
T1110.002,Password Cracking,credential-access,"Linux,macOS,Windows,Network Devices,Office Suite,Identity Provider",,4
T1114.001,Local Email Collection,collection,Windows,,2
T1555.001,Keychain,credential-access,macOS,,4
T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation","Linux,macOS,Windows,Network Devices",,5
